fold,mes_val,n_train,n_val,wape_oos,wape_is,gap_of,bias_oos,mae_oos,fecha_calculo,modo
1,2025-01,1052,178,1.6487088044313363,0.4018724837595309,-1.2468363206718054,7.654635209715768,8.60477797368939,2026-05-14 05:54,INICIAL
2,2025-02,1230,195,0.6691047858796726,0.3759485692197534,-0.2931562166599192,2.187188761662214,3.726398961360638,2026-05-14 05:54,INICIAL
3,2025-03,1425,226,0.4809988492922705,0.37526183183605444,-0.10573701745621605,-2.3552491763128645,3.245678075976604,2026-05-14 05:54,INICIAL
4,2025-04,1651,241,0.4403107443163472,0.36199197337343575,-0.07831877094291145,-0.5594762687366533,3.1150614898729128,2026-05-14 05:54,INICIAL
5,2025-05,1892,251,0.5457412237373067,0.3397169013389309,-0.20602432239837581,0.6715894432300591,3.6766868897999427,2026-05-14 05:54,INICIAL
6,2025-06,2143,248,0.4472276408482215,0.3475527710452424,-0.09967486980297907,-0.8744154365793351,3.3469939573157217,2026-05-14 05:54,INICIAL
7,2025-07,2391,286,0.42476294763356004,0.3532186354351164,-0.07154431219844365,-0.9873204127058283,3.2926554367258833,2026-05-14 05:54,INICIAL
8,2025-08,2677,303,0.41620637747312106,0.3510139152458814,-0.06519246222723968,0.27700498513262656,2.984872799501954,2026-05-14 05:54,INICIAL
9,2025-09,2980,314,0.38715900899413114,0.3344978912611688,-0.05266111773296234,-0.8854942612207619,3.076311233886488,2026-05-14 05:54,INICIAL
10,2025-10,3294,316,0.4675405685648199,0.32835025767610976,-0.13919031088871014,-2.209043031251883,4.64877362794514,2026-05-14 05:54,INICIAL
11,2025-11,3610,313,0.5011559431256262,0.3009965377748975,-0.20015940535072868,-1.401827405912046,5.122037897951687,2026-05-14 05:54,INICIAL
